Data;Area provenienza;Area Arrivo;Numero di visitatori
2019-08-10;Porta San Donato;Palazzo Poggi;0
2019-08-10;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;2918
2019-08-11;Porta San Donato;Piazza Rossini (Palazzo Malvezzi);133
2019-08-11;Palazzo Poggi;Piazza Scaravilli;0
2019-08-11;Facoltà Di Giurisprudenza;Piazza Rossini (Palazzo Malvezzi);11937
2019-08-11;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);7353
2019-08-11;Piazza Rossini (Palazzo Malvezzi);Porta San Donato;185
2019-08-11;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;9003
2019-08-12;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;506
2019-08-12;Piazza Puntoni (Via Zamboni);Piazza Verdi;163
2019-08-12;Piazza Scaravilli;Porta San Donato;95
2019-08-12;Via Del Guasto;Via San Giacomo;258
2019-08-12;Via Del Guasto;Facoltà Di Giurisprudenza;351
2019-08-12;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;27
2019-08-13;Porta San Donato;Piazza Scaravilli;51
2019-08-13;Piazza Scaravilli;Via San Giacomo;14700
2019-08-13;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;918
2019-08-14;Porta San Donato;Facoltà Di Giurisprudenza;101
2019-08-14;Piazza Puntoni (Via Zamboni);Via Del Guasto;45
2019-08-14;Via San Giacomo;Porta San Donato;259
2019-08-14;Piazza Verdi;Via Del Guasto;2815
2019-08-14;Facoltà Di Giurisprudenza;Via San Giacomo;1405
2019-08-15;Palazzo Poggi;Facoltà Di Giurisprudenza;0
2019-08-18;Via Del Guasto;Piazza Verdi;3687
2019-08-18;Piazza Verdi;Palazzo Poggi;0
2019-08-19;Piazza Puntoni (Via Zamboni);Palazzo Poggi;0
2019-08-19;Piazza Puntoni (Via Zamboni);Facoltà Di Giurisprudenza;168
2019-08-19;Via San Giacomo;Facoltà Di Giurisprudenza;2003
2019-08-19;Palazzo Poggi;Via Del Guasto;0
2019-08-20;Piazza Scaravilli;Facoltà Di Giurisprudenza;140
2019-08-20;Facoltà Di Giurisprudenza;Piazza Verdi;2795
2019-07-05;Facoltà Di Giurisprudenza;Piazza Puntoni (Via Zamboni);205
2019-07-06;Piazza Puntoni (Via Zamboni);Via Del Guasto;0
2019-07-06;Palazzo Poggi;Facoltà Di Giurisprudenza;6
2019-07-06;Facoltà Di Giurisprudenza;Palazzo Poggi;9
2019-07-07;Via Del Guasto;Piazza Verdi;0
2019-07-07;Facoltà Di Giurisprudenza;Via San Giacomo;2675
2019-07-08;Via San Giacomo;Piazza Rossini (Palazzo Malvezzi);5837
2019-07-08;Via Del Guasto;Piazza Verdi;0
2019-07-09;Facoltà Di Giurisprudenza;Piazza Rossini (Palazzo Malvezzi);27420
2019-07-10;Via Del Guasto;Piazza Puntoni (Via Zamboni);0
2019-07-11;Via San Giacomo;Facoltà Di Giurisprudenza;3632
2019-07-11;Via Del Guasto;Porta San Donato;0
2019-07-11;Facoltà Di Giurisprudenza;Porta San Donato;243
2019-11-23;Piazza Scaravilli;Piazza Rossini (Palazzo Malvezzi);0
2019-11-23;Palazzo Poggi;Facoltà Di Giurisprudenza;0
2019-11-23;Piazza Verdi;Via Del Guasto;7187
2019-11-23;Piazza Rossini (Palazzo Malvezzi);Palazzo Poggi;0
2019-11-25;Piazza Scaravilli;Porta San Donato;0
2019-11-25;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2019-11-25;2 Torri (Inizio Portico Via Zamboni);Facoltà Di Giurisprudenza;0
2019-11-26;Porta San Donato;2 Torri (Inizio Portico Via Zamboni);0
2019-11-26;Piazza Puntoni (Via Zamboni);Via San Giacomo;7625
2019-11-26;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;0
2019-11-26;Piazza Rossini (Palazzo Malvezzi);Piazza Scaravilli;0
2019-11-26;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;5079
2019-11-26;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;0
2019-11-27;Porta San Donato;Via Del Guasto;167
2019-11-27;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);859
2019-11-27;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);15097
2019-11-27;Piazza Rossini (Palazzo Malvezzi);Piazza Verdi;15287
2019-11-27;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2019-11-28;Porta San Donato;Via Del Guasto;187
2019-11-28;Piazza Puntoni (Via Zamboni);2 Torri (Inizio Portico Via Zamboni);0
2019-11-28;Piazza Verdi;Piazza Scaravilli;0
2019-11-29;Piazza Puntoni (Via Zamboni);Piazza Verdi;768
2019-11-29;Via Del Guasto;Palazzo Poggi;862
2019-11-29;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;23380
2019-11-30;Piazza Scaravilli;Piazza Puntoni (Via Zamboni);0
2019-11-30;Palazzo Poggi;Piazza Scaravilli;0
2019-11-30;Via Del Guasto;2 Torri (Inizio Portico Via Zamboni);0
2019-10-01;Porta San Donato;Facoltà Di Giurisprudenza;423
2019-10-01;Via San Giacomo;Palazzo Poggi;38872
2019-10-01;Piazza Scaravilli;Piazza Puntoni (Via Zamboni);3357
2019-10-01;Piazza Scaravilli;Via San Giacomo;34409
2019-10-01;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);202
2019-10-01;Piazza Rossini (Palazzo Malvezzi);2 Torri (Inizio Portico Via Zamboni);12281
2019-10-02;Via Del Guasto;Piazza Puntoni (Via Zamboni);265
2019-10-02;Via Del Guasto;2 Torri (Inizio Portico Via Zamboni);88
2019-10-02;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);19010
2019-10-02;Facoltà Di Giurisprudenza;Porta San Donato;233
2019-10-02;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;11498
2019-10-03;Porta San Donato;Via Del Guasto;170
2019-10-03;Porta San Donato;Piazza Verdi;760
2019-10-03;Piazza Puntoni (Via Zamboni);Porta San Donato;5022
2019-10-03;Via San Giacomo;Porta San Donato;864
2019-10-04;Piazza Puntoni (Via Zamboni);Via San Giacomo;6382
2019-10-04;Via San Giacomo;Piazza Rossini (Palazzo Malvezzi);7301
2019-10-04;Palazzo Poggi;Piazza Scaravilli;0
2019-10-04;Piazza Verdi;Piazza Puntoni (Via Zamboni);595
2019-10-04;Piazza Rossini (Palazzo Malvezzi);Piazza Scaravilli;1616
2019-10-05;Porta San Donato;Via Del Guasto;147
2019-10-05;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);954
2019-10-05;Via San Giacomo;Piazza Puntoni (Via Zamboni);3236
2019-10-05;Piazza Scaravilli;Via San Giacomo;10228
2019-10-06;Via San Giacomo;Piazza Scaravilli;19061
2019-10-06;Via San Giacomo;Palazzo Poggi;0
2019-10-06;Via San Giacomo;Piazza Verdi;9793
2019-10-06;Facoltà Di Giurisprudenza;Piazza Scaravilli;266
2019-10-06;Facoltà Di Giurisprudenza;Palazzo Poggi;0
2019-10-06;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;4023
2019-10-06;Piazza Rossini (Palazzo Malvezzi);Piazza Verdi;17047
2019-10-07;Via San Giacomo;Piazza Scaravilli;45674
2019-10-07;Facoltà Di Giurisprudenza;Porta San Donato;190
2019-10-07;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;20048
2019-10-08;Facoltà Di Giurisprudenza;Porta San Donato;178
2019-10-08;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;197
2019-10-09;Piazza Puntoni (Via Zamboni);Palazzo Poggi;2336
2019-10-09;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);19787
2019-10-09;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;51
2020-09-20;Piazza Verdi;Via Del Guasto;919
2020-09-20;Piazza Rossini (Palazzo Malvezzi);2 Torri (Inizio Portico Via Zamboni);2916
2020-09-21;Piazza Puntoni (Via Zamboni);Palazzo Poggi;0
2020-09-21;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);0
2020-09-22;Piazza Scaravilli;Piazza Rossini (Palazzo Malvezzi);478
2020-09-23;Piazza Puntoni (Via Zamboni);Piazza Verdi;0
2020-09-24;Porta San Donato;Via San Giacomo;1054
2020-09-26;Porta San Donato;Piazza Scaravilli;98
2020-09-26;Via San Giacomo;Via Del Guasto;1212
2020-09-26;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);0
2020-09-26;Via Del Guasto;Via San Giacomo;521
2020-09-26;Facoltà Di Giurisprudenza;Piazza Scaravilli;96
2020-09-27;Porta San Donato;Facoltà Di Giurisprudenza;239
2020-09-28;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);0
2020-09-28;2 Torri (Inizio Portico Via Zamboni);Porta San Donato;457
2020-10-01;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;42
2020-10-02;Via Del Guasto;Facoltà Di Giurisprudenza;421
2020-10-02;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);4258
2020-10-03;Via Del Guasto;Piazza Scaravilli;460
2020-10-04;Piazza Puntoni (Via Zamboni);Porta San Donato;0
2020-10-04;Facoltà Di Giurisprudenza;Piazza Puntoni (Via Zamboni);0
2020-10-05;Via San Giacomo;Porta San Donato;180
2020-10-05;Via San Giacomo;Palazzo Poggi;5195
2020-10-05;Piazza Scaravilli;Via San Giacomo;1639
2020-10-05;Via Del Guasto;Piazza Rossini (Palazzo Malvezzi);634
2020-10-05;Piazza Rossini (Palazzo Malvezzi);Porta San Donato;424
2020-10-06;Via San Giacomo;Piazza Verdi;1318
2020-10-06;Palazzo Poggi;Piazza Scaravilli;2336
2020-10-06;Palazzo Poggi;Via Del Guasto;1347
2020-10-06;Via Del Guasto;Piazza Scaravilli;445
2020-10-06;Piazza Verdi;Piazza Scaravilli;226
2020-10-07;Porta San Donato;Piazza Verdi;504
2020-10-07;Piazza Scaravilli;Porta San Donato;684
2020-10-07;Via Del Guasto;Via San Giacomo;916
2020-10-07;Piazza Verdi;Facoltà Di Giurisprudenza;4274
2020-10-08;Via San Giacomo;Porta San Donato;1219
2020-10-08;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);184
2020-10-08;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);4692
2020-10-08;Facoltà Di Giurisprudenza;Piazza Rossini (Palazzo Malvezzi);8762
2020-10-08;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;876
2020-10-09;Porta San Donato;Piazza Verdi;531
2020-10-09;Piazza Scaravilli;Via San Giacomo;1748
2020-10-09;Piazza Scaravilli;Via Del Guasto;351
2020-10-09;Palazzo Poggi;Facoltà Di Giurisprudenza;602
2020-10-09;Facoltà Di Giurisprudenza;Porta San Donato;285
2020-10-09;Facoltà Di Giurisprudenza;Via Del Guasto;678
2020-10-10;Porta San Donato;Piazza Puntoni (Via Zamboni);0
2020-10-10;Piazza Verdi;Via San Giacomo;3670
2020-10-10;Facoltà Di Giurisprudenza;Piazza Verdi;1501
2020-10-11;Porta San Donato;Piazza Scaravilli;35
2020-10-11;Piazza Puntoni (Via Zamboni);Porta San Donato;0
2020-10-11;Palazzo Poggi;Piazza Puntoni (Via Zamboni);0
2020-10-11;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);0
2020-10-11;Via Del Guasto;Piazza Rossini (Palazzo Malvezzi);0
2020-10-11;Piazza Verdi;2 Torri (Inizio Portico Via Zamboni);350
2020-10-12;Via Del Guasto;2 Torri (Inizio Portico Via Zamboni);117
2020-10-12;Piazza Verdi;Porta San Donato;285
2020-10-25;Piazza Rossini (Palazzo Malvezzi);Piazza Puntoni (Via Zamboni);0
2020-10-25;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;1840
2020-10-26;Porta San Donato;Piazza Rossini (Palazzo Malvezzi);204
2020-10-26;Piazza Puntoni (Via Zamboni);Via Del Guasto;0
2020-10-26;Facoltà Di Giurisprudenza;Via San Giacomo;439
2020-10-29;Piazza Scaravilli;Porta San Donato;431
2019-12-03;Piazza Scaravilli;Facoltà Di Giurisprudenza;0
2019-12-03;Via Del Guasto;Porta San Donato;143
2019-12-13;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);10006
2019-12-14;Piazza Scaravilli;Via San Giacomo;0
2019-12-14;Palazzo Poggi;Facoltà Di Giurisprudenza;0
2019-12-15;Piazza Puntoni (Via Zamboni);Porta San Donato;2915
2019-12-15;Piazza Puntoni (Via Zamboni);Facoltà Di Giurisprudenza;210
2019-12-15;Via San Giacomo;Piazza Puntoni (Via Zamboni);3013
2019-12-15;Piazza Scaravilli;Piazza Puntoni (Via Zamboni);0
2019-12-15;Piazza Scaravilli;Via Del Guasto;0
2019-12-15;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);0
2019-12-16;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);0
2019-12-16;Via Del Guasto;Via San Giacomo;1778
2019-12-18;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;3534
2019-12-19;Piazza Puntoni (Via Zamboni);Porta San Donato;3674
2020-02-08;Via San Giacomo;Via Del Guasto;3936
2020-02-08;Via San Giacomo;Piazza Verdi;8780
2020-02-08;Via San Giacomo;Piazza Rossini (Palazzo Malvezzi);5959
2020-02-08;Piazza Scaravilli;Via San Giacomo;0
2020-02-08;Piazza Scaravilli;Palazzo Poggi;0
2020-02-08;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);841
2020-02-08;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);0
2020-02-08;Facoltà Di Giurisprudenza;Porta San Donato;319
2020-02-08;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;3294
2020-02-08;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2020-02-09;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;0
2020-02-09;Piazza Puntoni (Via Zamboni);Palazzo Poggi;0
2020-02-09;Piazza Puntoni (Via Zamboni);Via Del Guasto;158
2020-02-09;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);749
2020-02-09;Piazza Scaravilli;Porta San Donato;0
2020-02-09;Piazza Scaravilli;2 Torri (Inizio Portico Via Zamboni);0
2020-02-09;Palazzo Poggi;Piazza Verdi;0
2020-02-09;Piazza Verdi;Piazza Scaravilli;0
2020-02-09;Piazza Verdi;2 Torri (Inizio Portico Via Zamboni);0
2020-02-09;Facoltà Di Giurisprudenza;Via Del Guasto;1221
2020-02-09;Facoltà Di Giurisprudenza;Piazza Verdi;5611
2020-02-09;Piazza Rossini (Palazzo Malvezzi);Piazza Scaravilli;0
2020-02-09;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;18893
2020-02-09;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2020-02-09;2 Torri (Inizio Portico Via Zamboni);Facoltà Di Giurisprudenza;0
2020-02-10;Porta San Donato;2 Torri (Inizio Portico Via Zamboni);0
2020-02-10;Piazza Puntoni (Via Zamboni);Via Del Guasto;229
2020-02-10;Piazza Puntoni (Via Zamboni);Piazza Verdi;584
2020-02-10;Via San Giacomo;Piazza Scaravilli;0
2020-02-10;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);27
2020-02-10;Via Del Guasto;Palazzo Poggi;3
2020-02-10;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;3709
2020-02-10;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;16978
2020-02-11;Porta San Donato;Palazzo Poggi;207
2020-02-11;Piazza Puntoni (Via Zamboni);Via Del Guasto;204
2020-02-11;Piazza Puntoni (Via Zamboni);Piazza Verdi;435
2020-02-11;Piazza Puntoni (Via Zamboni);Facoltà Di Giurisprudenza;202
2020-02-11;Via San Giacomo;2 Torri (Inizio Portico Via Zamboni);0
2020-02-11;Piazza Scaravilli;Via Del Guasto;0
2020-02-11;Piazza Scaravilli;Facoltà Di Giurisprudenza;0
2020-02-11;Palazzo Poggi;Via San Giacomo;25446
2020-02-11;Via Del Guasto;Piazza Verdi;10169
2020-02-11;Via Del Guasto;Facoltà Di Giurisprudenza;1563
2020-02-11;Piazza Verdi;Via San Giacomo;6603
2020-02-11;Facoltà Di Giurisprudenza;Piazza Scaravilli;0
2020-02-11;Facoltà Di Giurisprudenza;Piazza Rossini (Palazzo Malvezzi);28297
2020-02-11;Piazza Rossini (Palazzo Malvezzi);Piazza Puntoni (Via Zamboni);1228
2020-02-11;2 Torri (Inizio Portico Via Zamboni);Via Del Guasto;0
2020-02-12;Porta San Donato;Via San Giacomo;1070
2020-02-12;Piazza Scaravilli;Palazzo Poggi;0
2020-02-12;Piazza Scaravilli;Via Del Guasto;0
2020-02-12;Piazza Scaravilli;Piazza Verdi;0
2020-02-12;Via Del Guasto;Facoltà Di Giurisprudenza;1627
2020-02-12;Piazza Verdi;Facoltà Di Giurisprudenza;12732
2020-02-13;Porta San Donato;Piazza Verdi;482
2020-02-13;Piazza Puntoni (Via Zamboni);Via Del Guasto;154
2020-02-13;Piazza Puntoni (Via Zamboni);Piazza Verdi;473
2020-02-13;Piazza Puntoni (Via Zamboni);Facoltà Di Giurisprudenza;225
2020-02-13;Via San Giacomo;Porta San Donato;675
2020-02-13;Piazza Scaravilli;Palazzo Poggi;0
2020-02-13;Piazza Verdi;Piazza Puntoni (Via Zamboni);511
2020-02-13;Piazza Verdi;Palazzo Poggi;2128
2020-02-13;Piazza Verdi;Via Del Guasto;6602
2020-02-13;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);13113
2020-02-13;Facoltà Di Giurisprudenza;Via San Giacomo;2592
2020-02-13;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);0
2020-02-13;Piazza Rossini (Palazzo Malvezzi);Piazza Puntoni (Via Zamboni);1443
2020-02-13;Piazza Rossini (Palazzo Malvezzi);Piazza Verdi;13035
2020-02-13;2 Torri (Inizio Portico Via Zamboni);Via Del Guasto;0
2020-02-14;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);670
2020-02-14;Piazza Scaravilli;Piazza Verdi;0
2020-02-14;Palazzo Poggi;Facoltà Di Giurisprudenza;1516
2020-02-14;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);4283
2020-02-14;Via Del Guasto;Palazzo Poggi;632
2020-02-14;Piazza Verdi;Piazza Puntoni (Via Zamboni);538
2020-02-14;Facoltà Di Giurisprudenza;Piazza Verdi;5621
2020-02-14;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);0
2020-02-14;Piazza Rossini (Palazzo Malvezzi);2 Torri (Inizio Portico Via Zamboni);0
2020-02-14;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2020-02-15;Piazza Puntoni (Via Zamboni);Via San Giacomo;5815
2020-02-15;Piazza Puntoni (Via Zamboni);Palazzo Poggi;16
2020-02-15;Piazza Puntoni (Via Zamboni);Via Del Guasto;227
2020-02-15;Piazza Scaravilli;Porta San Donato;0
2020-02-15;Palazzo Poggi;Porta San Donato;14
2020-02-15;Via Del Guasto;Via San Giacomo;1552
2020-02-15;Via Del Guasto;Facoltà Di Giurisprudenza;1937
2020-02-15;Facoltà Di Giurisprudenza;Via San Giacomo;3492
2020-02-15;Facoltà Di Giurisprudenza;Palazzo Poggi;14
2020-02-15;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;4579
2020-02-15;Piazza Rossini (Palazzo Malvezzi);Piazza Verdi;15501
2020-02-15;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;0
2020-02-16;Via San Giacomo;2 Torri (Inizio Portico Via Zamboni);0
2020-02-16;Piazza Scaravilli;Piazza Verdi;0
2020-02-16;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);0
2020-02-16;Piazza Verdi;Piazza Puntoni (Via Zamboni);610
2020-02-16;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;0
2020-02-17;Porta San Donato;Piazza Verdi;561
2020-02-17;Palazzo Poggi;Piazza Puntoni (Via Zamboni);661
2020-02-17;Via Del Guasto;Via San Giacomo;2778
2020-02-17;Via Del Guasto;Facoltà Di Giurisprudenza;1690
2020-02-17;Piazza Rossini (Palazzo Malvezzi);2 Torri (Inizio Portico Via Zamboni);0
2020-02-17;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2020-02-17;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2020-02-17;2 Torri (Inizio Portico Via Zamboni);Facoltà Di Giurisprudenza;0
2020-02-18;Via San Giacomo;Palazzo Poggi;38633
2020-02-18;Palazzo Poggi;Facoltà Di Giurisprudenza;1325
2020-02-18;Palazzo Poggi;2 Torri (Inizio Portico Via Zamboni);0
2020-02-18;Via Del Guasto;Porta San Donato;163
2020-02-18;Via Del Guasto;Via San Giacomo;2108
2020-02-18;Piazza Verdi;Facoltà Di Giurisprudenza;12583
2020-02-18;Facoltà Di Giurisprudenza;Via Del Guasto;740
2020-02-18;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2020-02-18;2 Torri (Inizio Portico Via Zamboni);Via Del Guasto;0
2020-02-19;Via San Giacomo;Porta San Donato;867
2020-02-19;Piazza Scaravilli;Porta San Donato;0
2020-02-19;Via Del Guasto;Palazzo Poggi;843
2020-02-19;Piazza Verdi;2 Torri (Inizio Portico Via Zamboni);0
2020-02-19;Facoltà Di Giurisprudenza;Piazza Verdi;7565
2020-02-19;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;0
2020-02-20;Porta San Donato;Piazza Puntoni (Via Zamboni);4147
2020-02-20;Piazza Puntoni (Via Zamboni);Porta San Donato;4073
2020-02-20;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;0
2020-02-20;Via San Giacomo;Palazzo Poggi;12983
2020-02-20;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);1541
2020-02-20;Piazza Verdi;Facoltà Di Giurisprudenza;14280
2020-02-20;Facoltà Di Giurisprudenza;Piazza Scaravilli;0
2020-02-20;Facoltà Di Giurisprudenza;Via Del Guasto;954
2020-02-20;Piazza Rossini (Palazzo Malvezzi);Piazza Scaravilli;0
2020-02-20;Piazza Rossini (Palazzo Malvezzi);Piazza Verdi;16351
2020-02-21;Porta San Donato;Piazza Scaravilli;0
2020-02-21;Porta San Donato;Piazza Rossini (Palazzo Malvezzi);311
2020-02-21;Porta San Donato;2 Torri (Inizio Portico Via Zamboni);0
2020-02-21;Piazza Puntoni (Via Zamboni);Via San Giacomo;5995
2020-02-21;Via San Giacomo;2 Torri (Inizio Portico Via Zamboni);0
2020-02-21;Piazza Scaravilli;Palazzo Poggi;0
2020-02-21;Palazzo Poggi;Porta San Donato;716
2020-02-21;Palazzo Poggi;Via Del Guasto;3037
2020-02-21;Piazza Verdi;Via Del Guasto;6221
2020-02-21;Piazza Verdi;Facoltà Di Giurisprudenza;14027
2020-02-21;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;21591
2020-02-22;Via San Giacomo;Porta San Donato;977
2020-02-22;Via San Giacomo;Piazza Puntoni (Via Zamboni);3262
2020-02-22;Via San Giacomo;Palazzo Poggi;596
2020-02-22;Via San Giacomo;Piazza Rossini (Palazzo Malvezzi);5968
2020-02-22;Via Del Guasto;Piazza Verdi;7130
2020-02-22;Piazza Verdi;Palazzo Poggi;4
2020-02-22;Facoltà Di Giurisprudenza;Via Del Guasto;739
2020-02-22;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2020-02-22;2 Torri (Inizio Portico Via Zamboni);Via San Giacomo;0
2020-02-22;2 Torri (Inizio Portico Via Zamboni);Facoltà Di Giurisprudenza;0
2020-02-23;Via San Giacomo;Piazza Verdi;7514
2020-02-23;Piazza Scaravilli;Piazza Puntoni (Via Zamboni);0
2020-02-23;Palazzo Poggi;Facoltà Di Giurisprudenza;0
2020-02-23;Via Del Guasto;Via San Giacomo;1137
2020-02-23;Via Del Guasto;Piazza Verdi;7148
2020-02-23;Piazza Verdi;Via Del Guasto;5475
2020-02-23;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;7532
2020-02-23;Piazza Rossini (Palazzo Malvezzi);2 Torri (Inizio Portico Via Zamboni);0
2020-02-23;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;0
2020-02-23;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2020-02-23;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;0
2020-02-24;Porta San Donato;Palazzo Poggi;110
2020-02-24;Porta San Donato;Facoltà Di Giurisprudenza;262
2020-02-24;Via San Giacomo;Palazzo Poggi;14850
2020-02-24;Piazza Scaravilli;Facoltà Di Giurisprudenza;0
2020-02-24;Palazzo Poggi;Facoltà Di Giurisprudenza;1199
2020-02-24;Palazzo Poggi;Piazza Rossini (Palazzo Malvezzi);2262
2020-02-24;Piazza Verdi;Piazza Scaravilli;0
2020-02-24;Piazza Verdi;2 Torri (Inizio Portico Via Zamboni);0
2020-02-24;Facoltà Di Giurisprudenza;Porta San Donato;162
2020-02-24;Facoltà Di Giurisprudenza;Via San Giacomo;1923
2020-02-24;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);0
2020-02-24;Piazza Rossini (Palazzo Malvezzi);Piazza Scaravilli;0
2020-02-25;Porta San Donato;Via San Giacomo;664
2020-02-25;Porta San Donato;Via Del Guasto;76
2020-02-25;Porta San Donato;Piazza Rossini (Palazzo Malvezzi);174
2020-02-25;Piazza Puntoni (Via Zamboni);Via Del Guasto;102
2020-02-25;Piazza Scaravilli;Palazzo Poggi;0
2020-02-25;Palazzo Poggi;Piazza Puntoni (Via Zamboni);1735
2020-02-25;Palazzo Poggi;Via San Giacomo;9074
2020-02-25;Via Del Guasto;Piazza Scaravilli;0
2020-02-25;Facoltà Di Giurisprudenza;Palazzo Poggi;452
2020-02-25;2 Torri (Inizio Portico Via Zamboni);Porta San Donato;0
2020-02-26;Porta San Donato;Via San Giacomo;512
2020-02-26;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);411
2020-02-26;Via San Giacomo;Palazzo Poggi;14733
2020-02-26;Piazza Scaravilli;Via Del Guasto;0
2020-02-26;Piazza Scaravilli;Facoltà Di Giurisprudenza;0
2020-02-26;Palazzo Poggi;Via Del Guasto;1210
2020-02-26;Via Del Guasto;Facoltà Di Giurisprudenza;767
2020-02-26;2 Torri (Inizio Portico Via Zamboni);Piazza Puntoni (Via Zamboni);0
2020-02-26;2 Torri (Inizio Portico Via Zamboni);Palazzo Poggi;0
2020-02-27;Porta San Donato;Piazza Puntoni (Via Zamboni);2482
2020-02-27;Porta San Donato;Palazzo Poggi;108
2020-02-27;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;0
2020-02-27;Piazza Scaravilli;Piazza Puntoni (Via Zamboni);0
2020-02-27;Via Del Guasto;Porta San Donato;58
2020-02-27;Piazza Verdi;Porta San Donato;296
2020-02-27;Piazza Verdi;Piazza Puntoni (Via Zamboni);321
2020-02-27;Piazza Verdi;Via San Giacomo;4536
2020-02-27;Piazza Verdi;Piazza Rossini (Palazzo Malvezzi);5552
2020-02-27;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;4964
2020-02-27;Piazza Rossini (Palazzo Malvezzi);Via Del Guasto;1340
2020-02-28;Piazza Puntoni (Via Zamboni);Porta San Donato;2210
2020-02-28;Piazza Puntoni (Via Zamboni);Piazza Rossini (Palazzo Malvezzi);402
