CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
5285;22440;VIA ENZO FERRARI;14;San Donato - San Vitale;VIA LARGA;VIA ENZO FERRARI;13096;13257;1995-05-18;512.0;6;;28;;;;;;44.50322739591099, 11.394020039389938;"{""coordinates"": [[11.396745585296966, 44.50247991638501], [11.39533540790542, 44.50293340220388], [11.395260703026867, 44.502950391187], [11.395195797933903, 44.502944055902105], [11.395154165125023, 44.502914086672895], [11.395087767050294, 44.50280559451169], [11.395054203412972, 44.50277545593868], [11.395000056851496, 44.50276888580807], [11.394941174336985, 44.50277782741025], [11.392416412989805, 44.503568602812145], [11.392370377237036, 44.50359732255358], [11.392344798629784, 44.50363164526071], [11.392336518622235, 44.503676462518854], [11.392369018025544, 44.503728878537224], [11.392483783023918, 44.503937637426574], [11.392468272936261, 44.50397054278896], [11.3924505360311, 44.503990225037974], [11.392424130993962, 44.50400404823388], [11.39174004924972, 44.50422232765079], [11.39169104599594, 44.50421973535036], [11.391588486914833, 44.504185675811044]], ""type"": ""LineString""}";759497
5577;90050;TANGENZIALE CASALECCHIO-SAN LAZZARO;14;San Donato - San Vitale;TANGENZIALE CASALECCHIO-SAN LAZZARO;TANGENZIALE CASALECCHIO-SAN LAZZARO;13424;13380;1996-03-05;106.0;;;;;;;;;44.494689903739044, 11.389291846136945;"{""coordinates"": [[11.388693001848186, 44.494553494096614], [11.388827274821885, 44.49463773019707], [11.388875054285595, 44.49466167645804], [11.388939453219459, 44.494690964519904], [11.388988804225649, 44.49470781081964], [11.389044327511709, 44.49472426684508], [11.389095909227649, 44.49473475560468], [11.389174750026857, 44.49474932814683], [11.389247495434798, 44.49475200977212], [11.389362285729066, 44.49474694232595], [11.389446643804423, 44.49473616496693], [11.38958213686842, 44.494709858981736], [11.389685905890634, 44.4946856303687], [11.38990721102003, 44.49459919083073]], ""type"": ""LineString""}";
10329;40200;VIA DOMENICO MORELLI;15;Santo Stefano;NOME VIA DA ISTITUIRE;VIA PARISIO;17363;17148;2007-09-05;39.0;4;A;4;A;;;;;44.475781884658495, 11.375287344987417;"{""coordinates"": [[11.37519026082144, 44.47562072698145], [11.375207415112301, 44.475654282864], [11.375218526589162, 44.475704691319294], [11.375404966526512, 44.475932043763656]], ""type"": ""LineString""}";759443
10331;52780;VIA ELEONORA SANGUINETTI;15;Santo Stefano;VIA GIORGIO PERLASCA;VIA DOMENICO MORELLI;17359;17363;2007-09-05;93.0;;;;;;;;;44.47538233511147, 11.375673201657373;"{""coordinates"": [[11.376157067209496, 44.47514577683669], [11.375269424656757, 44.47557954934632], [11.37519026082144, 44.47562072698145]], ""type"": ""LineString""}";760536
11628;43150;VIA DI PADERNO;15;Santo Stefano;VIA DI PADERNO;VIA DELLA TORRE;4190;17904;1991-10-21;383.0;12;;14;3;;;;;44.446786937493634, 11.318908415431622;"{""coordinates"": [[11.316787699057295, 44.44717346658336], [11.316899561869901, 44.44712104255563], [11.317036081926883, 44.447032719537205], [11.317149119072184, 44.44697536498431], [11.31744476492291, 44.44688478375668], [11.31761560837993, 44.44683117068599], [11.317783226415997, 44.44680022850173], [11.317878993461347, 44.44679238733837], [11.31794228796602, 44.44679601762764], [11.318217466003917, 44.44681579935914], [11.318445637030468, 44.4468202042985], [11.318734090214388, 44.446825157889975], [11.31892092640158, 44.44682922210178], [11.319058517226111, 44.44683724828417], [11.319175681664943, 44.446849605427694], [11.319291750209262, 44.44686888074573], [11.3194571343494, 44.446900883004645], [11.319592903469129, 44.44691780416313], [11.319713902159565, 44.44692225053868], [11.319845370158669, 44.446914654553055], [11.319962269906467, 44.44688573011289], [11.32005151117157, 44.44685147092891], [11.320151260283584, 44.44680519563873], [11.320289532362544, 44.44672666401184], [11.320365324558662, 44.44667523080047], [11.320423197664438, 44.446620992838334], [11.320469441102775, 44.44655584596014], [11.320572983793271, 44.44636297504686], [11.320656962871084, 44.44623048639919], [11.320707290616658, 44.44614980784407], [11.3207536748926, 44.44603874446225]], ""type"": ""LineString""}";759405
7603;12200;VIA DELLA CAMPAGNA;14;San Donato - San Vitale;VIA DELLA CAMPAGNA;VIA DELLA CAMPAGNA;15337;15339;1997-10-08;31.0;;;;;;;;;44.505210757154956, 11.376751984969324;"{""coordinates"": [[11.376558483258703, 44.50518915126097], [11.376945486679945, 44.50523236304894]], ""type"": ""LineString""}";759285
6548;6950;VIA GENUZIO BENTINI;12;Navile;VIA GENUZIO BENTINI;VIA GENUZIO BENTINI;14216;14217;1997-06-06;53.0;;;;;49;;55;;44.54727888941291, 11.356913496762953;"{""coordinates"": [[11.356592635621919, 44.547340785319534], [11.357234357903986, 44.547216993506275]], ""type"": ""LineString""}";759642
6550;35100;VIA MARCO EMILIO LEPIDO;11;Borgo Panigale - Reno;VIA MARCO EMILIO LEPIDO;VIA MARCO EMILIO LEPIDO;15122;15130;1997-06-06;463.0;230;3;246;;;;;;44.53060531856413, 11.230360953046771;"{""coordinates"": [[11.231075611633802, 44.532529184925785], [11.231063936656735, 44.53250064096036], [11.23084471086329, 44.53213700915615], [11.230456302734533, 44.531555616022935], [11.230267938450437, 44.5312791819188], [11.230156949708674, 44.53108906479141], [11.230111421220917, 44.5310051592109], [11.230084619398404, 44.53091332564421], [11.23003591466515, 44.530746217504955], [11.23002397242597, 44.53065559706777], [11.230017874066913, 44.530551241613914], [11.230060507751235, 44.530226389018964], [11.23011607314025, 44.529963365352515], [11.230206367237491, 44.529611843309475], [11.230345608684425, 44.529045869386614], [11.230414446919092, 44.52875609170347], [11.230456559182327, 44.52854522137065]], ""type"": ""LineString""}";759969
6555;35100;VIA MARCO EMILIO LEPIDO;11;Borgo Panigale - Reno;VIA MARCO EMILIO LEPIDO;VIA MARCO EMILIO LEPIDO;15117;15119;1997-06-06;18.0;;;;;303;;321;1;44.5329980406498, 11.2321619543665;"{""coordinates"": [[11.23226397554844, 44.53296090623399], [11.232220605388425, 44.532978381998205], [11.232154776264167, 44.533000978218375], [11.232059125170654, 44.53303297098897]], ""type"": ""LineString""}";759969
3842;13880;VIA DELLA CASA BUIA;12;Navile;VIA DELL'ARCOVEGGIO;VIA DELLA CASA BUIA;11052;11064;1992-01-10;99.0;2;;6;B;3;;5;1;44.54209112841734, 11.350957724868646;"{""coordinates"": [[11.351570750661637, 44.542001346920514], [11.350344699075656, 44.54218090991417]], ""type"": ""LineString""}";759287
