CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
5088;1150;VIA ALBERTO MARIO;16;Savena;VIA ALBERTO MARIO;VIA ALBERTO MARIO;5608;5600;1991-10-21;697.0;72;;82;2;;;;;44.46202644447266, 11.384451357060946;"{""coordinates"": [[11.38248969198932, 44.459281263141364], [11.382538682185759, 44.45931876289701], [11.38256639400456, 44.459369301420125], [11.382603805910845, 44.45953342166207], [11.382630238405511, 44.4596970868525], [11.382650817746075, 44.45981019842507], [11.382691796904282, 44.460044050523635], [11.382743494491896, 44.46015578333526], [11.38285254459042, 44.460302590527995], [11.382980096274999, 44.460474047687725], [11.383234538153301, 44.460751859396694], [11.383387834382953, 44.460924201018344], [11.383661065038092, 44.46120089025279], [11.383864930649708, 44.46140740252245], [11.385136496424495, 44.462775932632574], [11.38602585245111, 44.463679386182406], [11.386102530756485, 44.463791855621665], [11.386187010648262, 44.463987778255856], [11.386318188895263, 44.46441923242192], [11.386478297930545, 44.464760388502135]], ""type"": ""LineString""}";758734
5096;54950;VIALE ANTONIO SILVANI;13;Porto - Saragozza;VIA INNOCENZO MALVASIA;PIAZZA VII NOVEMBRE 1944;10158;16697;1991-10-21;190.0;10;;20;F;;;;;44.501824633455, 11.331608630494145;"{""coordinates"": [[11.33259083066823, 44.50231418972027], [11.330626430320061, 44.50133507718974]], ""type"": ""LineString""}";758853
3610;6300;VIA GIUSEPPE GIOACCHINO BELLI;12;Navile;VIA GIUSEPPE GIUSTI;VIA CARLO PORTA;15085;15084;1992-01-10;120.0;2;;4;A;1;;1;B;44.53047173283841, 11.351294071140856;"{""coordinates"": [[11.351135914206864, 44.5299423600155], [11.351452228074846, 44.53100110566131]], ""type"": ""LineString""}";759777
5152;30520;CORTE ISOLANI;15;Santo Stefano;STRADA MAGGIORE;VIA SANTO STEFANO;6107;13154;1994-05-24;118.0;2;;8;C;1;;7;E;44.49282992184533, 11.348463616400972;"{""coordinates"": [[11.348072518556503, 44.49238566210469], [11.348217678942607, 44.49250583153146], [11.348465399676762, 44.49283348906729], [11.348834851550585, 44.49329437333914]], ""type"": ""LineString""}";759841
5163;40300;VIA WOLFGANG AMADEUS MOZART;11;Borgo Panigale - Reno;VIA FRYDERYK CHOPIN;VIA MICHELANGELO BUONARROTI;15748;15749;1994-06-07;74.0;4;;4;;;;;;44.49635242749919, 11.283049962955445;"{""coordinates"": [[11.283502696221664, 44.496272383262635], [11.282597229689227, 44.49643247173575]], ""type"": ""LineString""}";760454
5185;38300;VIA MICHELINO;14;San Donato - San Vitale;VIA MICHELINO;VIA MICHELINO;13179;13182;1994-06-16;204.0;;;;;73;;93;2P;44.51458778929802, 11.37337453160444;"{""coordinates"": [[11.372323881935557, 44.51407686870424], [11.372404327111745, 44.514175359266865], [11.372471302475724, 44.514255998577624], [11.372545518975558, 44.51430611272616], [11.37420365036537, 44.514888213559644], [11.374499313433438, 44.51498573714323]], ""type"": ""LineString""}";760017
3718;14130;VIA TOMMASO CASINI;14;San Donato - San Vitale;VIA ADA NEGRI;VIA ITALO SVEVO;10865;10901;1991-10-21;130.0;;;;;5;;5;;44.51107864837841, 11.39539038139404;"{""coordinates"": [[11.39461612754767, 44.511262845281756], [11.395111962463146, 44.51114427695578], [11.39592293112638, 44.51095243755114], [11.396164899917318, 44.51089556683712]], ""type"": ""LineString""}";760367
3719;30850;VIA LARGA;14;San Donato - San Vitale;VIA LINO SIGHINOLFI;VIA GIOVAN BATTISTA MARTINETTI;13844;10831;1991-10-21;99.0;;;;;;;;;44.512230036050966, 11.40285727995114;"{""coordinates"": [[11.402597759282687, 44.51182378653067], [11.403050342954655, 44.51253268155741], [11.403118312802366, 44.51263530216407]], ""type"": ""LineString""}";759859
3720;24480;VIA LODOVICO FRATI;14;San Donato - San Vitale;VIA ALFREDO PANZINI;VIA TOMMASO CASINI;15479;10895;1991-10-21;213.0;2;;10;;1;;17;;44.510744866367396, 11.398506838657458;"{""coordinates"": [[11.397200938007158, 44.51068135758877], [11.397249820546646, 44.51071583710542], [11.39731105610419, 44.51073616622532], [11.397702743111461, 44.51079812349051], [11.397835829604785, 44.51080986707559], [11.398323510306168, 44.51079759621253], [11.398588915644854, 44.51078673515012], [11.398694530858926, 44.510778997278095], [11.398796930355367, 44.5107640258116], [11.39905912781548, 44.51071363782306], [11.399375275467483, 44.51066853405834], [11.399665374015052, 44.510643206487586], [11.39982616888177, 44.51064618193429]], ""type"": ""LineString""}";759893
5457;45190;VIALE SANDRO PERTINI;11;Borgo Panigale - Reno;VIALE SANDRO PERTINI;VIALE SANDRO PERTINI;13367;13369;1996-02-13;739.0;;;;;;;;;44.491611719820455, 11.28847067388959;"{""coordinates"": [[11.292775632837499, 44.49285961125186], [11.292010009839574, 44.492604565945975], [11.28968104547401, 44.49195344852879], [11.287388214209702, 44.49130516948199], [11.285123804975465, 44.490670031269], [11.284159655510111, 44.49038271648945]], ""type"": ""LineString""}";760284
3293;63050;VIA DOMENICO ZAMPIERI;12;Navile;VIA NICOLO' DALL'ARCA;VIA ARISTOTILE FIORAVANTI;10335;10349;1991-10-21;154.0;36;;36;D;23;;41;B;44.509547518928855, 11.341650012820391;"{""coordinates"": [[11.340695025023232, 44.50967402780968], [11.342605000617553, 44.50942101004802]], ""type"": ""LineString""}";759445
3295;11850;VIA DIONISIO CALVART;12;Navile;VIA DI CORTICELLA;VIA ANDREA DA FAENZA;10403;10404;1991-10-21;180.0;2;;24;;1;;21;2F;44.51589661275459, 11.346581638206947;"{""coordinates"": [[11.347710710897987, 44.5158517157242], [11.345452565515908, 44.51594150978497]], ""type"": ""LineString""}";759435
3297;55500;VIA LIONELLO SPADA;12;Navile;VIA DI CORTICELLA;VIA ANDREA DA FAENZA;10399;10400;1991-10-21;183.0;2;;32;;1;;35;;44.515006845283466, 11.346515707717682;"{""coordinates"": [[11.345365823191976, 44.515060843425694], [11.347665592243388, 44.51495284714124]], ""type"": ""LineString""}";759887
3304;49450;VIA FILIPPO RE;15;Santo Stefano;VIA IRNERIO;VIA FILIPPO RE;10461;10465;1993-04-13;93.0;2;;10;A;1;;1;;44.49913347946002, 11.354455318125908;"{""coordinates"": [[11.35425715119435, 44.49873883360742], [11.354653485057465, 44.49952812531262]], ""type"": ""LineString""}";759552
3307;20550;PIAZZA DI PORTA SAN DONATO;14;San Donato - San Vitale;VIALE CARLO BERTI PICHAT;VIA FAUSTINO MALAGUTI;16752;10459;1992-01-10;46.0;4;;4;D;;;;;44.498397073250146, 11.35669012198833;"{""coordinates"": [[11.356717254418832, 44.498188922660205], [11.356662989557824, 44.49860522384009]], ""type"": ""LineString""}";759414
3308;20550;PIAZZA DI PORTA SAN DONATO;15;Santo Stefano;MURA ANTEO ZAMBONI;VIA LUIGI ZAMBONI;6519;6520;1991-10-21;50.0;;;;;5;;5;;44.49811431148098, 11.35584409499074;"{""coordinates"": [[11.355542459389088, 44.49806279153154], [11.355706846355817, 44.49810901249829], [11.355753415252117, 44.4981259666035], [11.356151443653944, 44.49812624129126]], ""type"": ""LineString""}";759414
3310;36450;PIAZZA DI PORTA MASCARELLA;15;Santo Stefano;VIA MASCARELLA;VIALE CARLO BERTI PICHAT;10306;10281;1991-10-21;25.0;8;;8;B;7;;7;10;44.50199133494058, 11.352680563040392;"{""coordinates"": [[11.35281230513522, 44.502054193517885], [11.35274742669987, 44.50200649369724], [11.352539681361074, 44.50194710004464]], ""type"": ""LineString""}";759411
3313;8000;VIA ANTONIO BERTOLONI;15;Santo Stefano;VIA DELLE BELLE ARTI;VIA IRNERIO;10297;13520;1991-10-21;160.0;2;;4;B;1;;13;A;44.498507166232564, 11.352198392466214;"{""coordinates"": [[11.352484868252795, 44.49919068681437], [11.352228045654579, 44.49863553271003], [11.35213513176475, 44.4984157857717], [11.35205736967892, 44.49813241142177], [11.351972120245394, 44.49780202676213]], ""type"": ""LineString""}";758830
5464;56520;VIA FRANCESCO TADOLINI;11;Borgo Panigale - Reno;ROTONDA ONORATO MALAGUTI;ASSE SUD-OVEST;13372;4364;1996-02-13;104.0;;;;;;;;;44.49149460333021, 11.286752382021254;"{""coordinates"": [[11.286182492161231, 44.491302629743664], [11.286895517879, 44.4915105050347], [11.286989966932307, 44.4915522214763], [11.287085158199357, 44.49161259435123], [11.287163525169873, 44.49168785241969], [11.287266691537228, 44.491787163626746]], ""type"": ""LineString""}";759597
10686;19470;ROTONDA CHARLES DE GAULLE;16;Savena;VIALE VLADIMIR ILIC ULJANOV LENIN;VIALE ABRAHAM LINCOLN;6897;17497;2009-04-21;38.0;;;;;;;;;44.482819888733, 11.383944785948092;"{""coordinates"": [[11.383735920509288, 44.48281441140407], [11.383771907616508, 44.48280014701729], [11.383823429578088, 44.4827906266689], [11.38386818711294, 44.48278884575078], [11.383920121742069, 44.48278945366272], [11.383963011342605, 44.48279954112643], [11.384000098695191, 44.48281227947982], [11.384033724014884, 44.48282677360994], [11.3840664439353, 44.482848056590655], [11.384097076315069, 44.48287612610421], [11.38412362873905, 44.48291948620384]], ""type"": ""LineString""}";760505
5133;34000;VIA INNOCENZO MALVASIA;13;Porto - Saragozza;VIALE ANTONIO SILVANI;VIA LODOVICO BERTI;16697;10166;1994-05-06;39.0;;;;;1;;1;D;44.50137736935514, 11.330388390249091;"{""coordinates"": [[11.330626430320061, 44.50133507718974], [11.330150350178121, 44.50141966152054]], ""type"": ""LineString""}";759835
5138;25250;MURA DI PORTA GALLIERA;15;Santo Stefano;MURA DI PORTA GALLIERA;VIALE ANGELO MASINI;13143;10330;1994-05-06;31.0;;;;;;;;;44.50252676296494, 11.351458013228022;"{""coordinates"": [[11.351369545024768, 44.502403584615855], [11.351546481431278, 44.502649941314026]], ""type"": ""LineString""}";759408
10697;11500;VIA CALATAFIMI;11;Borgo Panigale - Reno;VIA CALATAFIMI;VIA MARTIN LUTHER KING;17500;15079;2009-05-04;56.0;;;;;;;;;44.521685114686704, 11.265772453473886;"{""coordinates"": [[11.265657050319732, 44.52144536221391], [11.265845799099694, 44.521838259639274], [11.265889506520192, 44.52192405071217]], ""type"": ""LineString""}";758981
10701;59600;VIA DEL TUSCOLANO;12;Navile;ROTONDA DON GIUSEPPE NOZZI;VIA DEL TUSCOLANO;17501;11162;2009-05-20;456.0;;;;;107;;113;;44.549662806437276, 11.369712743587463;"{""coordinates"": [[11.368564161790651, 44.54783930785254], [11.368713180433478, 44.547966545022724], [11.368821568074587, 44.54813239971038], [11.369091902061227, 44.54853116421109], [11.369387635544019, 44.54892938282797], [11.369535418467178, 44.54912623394904], [11.369739880364813, 44.54946728975183], [11.370065924894343, 44.55014203751188], [11.37023488567538, 44.55054745019291], [11.370273443519404, 44.55071475338056], [11.370336221685404, 44.55100878604536], [11.370390816182356, 44.55125753494662], [11.370421928915414, 44.55139773307939], [11.370477320958493, 44.55151017642075], [11.370546760311553, 44.55165012775129]], ""type"": ""LineString""}";759274
4591;750;VIA AGUCCHI;12;Navile;VIA DALLA VOLTA;VIA DI BERTALIA;16126;8849;1991-10-21;317.0;112;;114;;;;;;44.5196386766887, 11.311513148867478;"{""coordinates"": [[11.312105301539415, 44.52101442624988], [11.312049737060898, 44.520880315302435], [11.311701515269274, 44.52003162983377], [11.311564874960899, 44.51970718096705], [11.31138293366084, 44.51929801687432], [11.311231992816724, 44.51897458633336], [11.311132492742441, 44.51878701600305], [11.311024229314746, 44.51858496683103], [11.310906381842562, 44.51839922614322], [11.310826371874269, 44.51831468234632]], ""type"": ""LineString""}";758722
10234;51470;VIA PROPERZIA DE ROSSI;14;San Donato - San Vitale;ROTONDA SANTE BENTIVOGLIO;VIA PROPERZIA DE ROSSI;17326;16855;2007-09-25;210.0;;;;;;;;;44.49164850906013, 11.417776363063236;"{""coordinates"": [[11.417154084615401, 44.49079503619113], [11.41723432438607, 44.49088997976247], [11.41736126313236, 44.49108810318969], [11.417928557726459, 44.49189711435727], [11.418191199146925, 44.49226142170138], [11.41826617228654, 44.492293386025636], [11.418344302418596, 44.49232048504305], [11.418414645479924, 44.49232138043517], [11.418457119983971, 44.49231898611953], [11.418507902627972, 44.492309771859695]], ""type"": ""LineString""}";760535
10674;36280;VIA MARZIALE;12;Navile;VIA MARZIALE;VIA MARZIALE;17488;17489;2009-02-26;64.0;10;;10;;13;;15;;44.53181395337073, 11.350687061501077;"{""coordinates"": [[11.351077794769477, 44.5317401480908], [11.350296328232673, 44.53188775865065]], ""type"": ""LineString""}";759993
10681;31370;VIALE VLADIMIR ILIC ULJANOV LENIN;16;Savena;ROTONDA CHARLES DE GAULLE;VIA MISA;17495;6891;2009-04-21;155.0;;;;;;;;;44.4837291196204, 11.384552294091074;"{""coordinates"": [[11.384010344381453, 44.48315074311421], [11.384046860146974, 44.48319049216938], [11.384600000349879, 44.483780626954534], [11.385095337536388, 44.48430647288739]], ""type"": ""LineString""}";760448
10682;22320;VIALE FELSINA;16;Savena;ROTONDA CHARLES DE GAULLE;VIA DELLE FOSSE ARDEATINE;6913;17496;2009-04-21;41.0;;;;;1;;1;;44.48308453257174, 11.383356332759764;"{""coordinates"": [[11.383111698945067, 44.48314578550156], [11.383300672667833, 44.48309626007556], [11.383601803684819, 44.48302667533765]], ""type"": ""LineString""}";759534
1569;53350;VIA LODOVICO SAVIOLI;15;Santo Stefano;VIA GIUSEPPE MAZZINI;VIA LEANDRO ALBERTI;6366;6367;1991-10-21;139.0;2;;6;;1;;7;;44.48679281688956, 11.364062719012072;"{""coordinates"": [[11.364431061496541, 44.48736026524454], [11.3636943765276, 44.48622536853459]], ""type"": ""LineString""}";759894
3619;59600;VIA DEL TUSCOLANO;12;Navile;VIA DELLA CROCE COPERTA;VIA FRATELLI PINARDI;10718;10719;1991-10-21;428.0;2;;20;;1;;9;F;44.53236365538443, 11.357733173435971;"{""coordinates"": [[11.357040906579856, 44.53049665645725], [11.357071262775737, 44.5306401242253], [11.357140578089586, 44.53101828481924], [11.357210263413977, 44.531283969047855], [11.357266880432148, 44.53146907133166], [11.358166852207678, 44.53331326004985], [11.358519401857976, 44.53401242303099], [11.358599426959943, 44.53416893502711]], ""type"": ""LineString""}";759274
3721;19180;VIA GABRIELE D'ANNUNZIO;14;San Donato - San Vitale;VIA ALFREDO PANZINI;VIA ITALO SVEVO;10890;10893;1991-10-21;227.0;2;;10;;1;;19;A;44.50997985223634, 11.394381019486916;"{""coordinates"": [[11.393015693481093, 44.5097969416874], [11.393334806638396, 44.50986820458103], [11.393863182303523, 44.50997487859631], [11.394833644941386, 44.51009084843687], [11.395037499150114, 44.510098958971824], [11.395135095960518, 44.51008744951443], [11.395215679549096, 44.51006633113271], [11.395718379531765, 44.50983927932423]], ""type"": ""LineString""}";759618
3723;43970;VIA ALFREDO PANZINI;14;San Donato - San Vitale;VIA GABRIELE D'ANNUNZIO;VIA ITALO SVEVO;10890;10891;1991-10-21;169.0;;;;;1;2;5;;44.509139399407324, 11.393586972165066;"{""coordinates"": [[11.393015693481093, 44.5097969416874], [11.393174282624171, 44.509599233707405], [11.393722321423605, 44.508960372338485], [11.39384679241732, 44.50883405794926], [11.393899950703691, 44.50877550682165], [11.393977253423998, 44.50870318853932], [11.394109354061705, 44.508612057899136], [11.394220579014775, 44.50855123545409]], ""type"": ""LineString""}";758782
3726;30180;VIA DELL'INDUSTRIA;14;San Donato - San Vitale;VIA DEL FONDITORE;VIA DEL FERROVIERE;10843;10844;1991-10-21;275.0;38;;40;;;;;;44.50557558346548, 11.406844257872406;"{""coordinates"": [[11.405159940401909, 44.50530154502187], [11.406398341230572, 44.50549767316259], [11.407243915017517, 44.50562964704224], [11.407818418588834, 44.5057338252657], [11.408171607486755, 44.50580846907204], [11.408520815065442, 44.5058905778881]], ""type"": ""LineString""}";759373
3732;46430;VIA LUIGI PIRANDELLO;14;San Donato - San Vitale;VIA ALFREDO PANZINI;VIA ITALO SVEVO;10879;10887;1991-10-21;290.0;;;;;21;;45;;44.51067287699923, 11.394192488587557;"{""coordinates"": [[11.392458345676735, 44.51098975100374], [11.392626906106289, 44.51097403758059], [11.392886937997838, 44.51094404595042], [11.393307444963122, 44.51090122757893], [11.393381005422365, 44.510889827462194], [11.394140244128925, 44.51071276022232], [11.394929531295588, 44.5105288637366], [11.395272378508277, 44.51044109720818], [11.39540065562546, 44.51040121586071], [11.395697582558949, 44.51024934118094], [11.395876123726387, 44.51016811793544]], ""type"": ""LineString""}";759933
4237;52300;VIA SABOTINO;13;Porto - Saragozza;VIA DEL CARSO;VIA LUIGI BUSI;4711;15767;1991-10-21;122.0;12;;16;E;21;;27;3;44.49708144674601, 11.322913683511594;"{""coordinates"": [[11.322148857706377, 44.49711228952616], [11.32302898643534, 44.49707929411413], [11.323678243116294, 44.497044734871174]], ""type"": ""LineString""}";760240
4084;24750;VIA DE' FUSARI;13;Porto - Saragozza;GALLERIA FALCONE E BORSELLINO;PIAZZA DE' CELESTINI;13076;138;1991-10-21;31.0;14;;14;E;13;;13;B;44.49267925270072, 11.34127248488598;"{""coordinates"": [[11.341362513375667, 44.49279150161405], [11.34133960651985, 44.49278041212297], [11.341318766769417, 44.492772575177376], [11.3412005377929, 44.49254753164677]], ""type"": ""LineString""}";759111
4086;8750;VIA UMBERTO BOCCIONI;11;Borgo Panigale - Reno;VIA NINO BERTOCCHI;VIA UMBERTO BOCCIONI;8631;13118;1991-10-21;131.0;4;;4;;3;;7;;44.501159978282445, 11.29034222300597;"{""coordinates"": [[11.290111235320044, 44.500592723632195], [11.290573210691896, 44.5017272329327]], ""type"": ""LineString""}";760392
4087;2900;VIA DELL'ARCOVEGGIO;12;Navile;VIA DELLA COOPERAZIONE;VIA DOMENICO AIMO;10713;13079;1991-10-21;63.0;68;;68;;49;11;51;;44.53152119648276, 11.347143945262573;"{""coordinates"": [[11.347153035401703, 44.531804710966725], [11.347134855123445, 44.531237681998796]], ""type"": ""LineString""}";759342
3316;51500;VIA GASTONE ROSSI;14;San Donato - San Vitale;VIA PAOLO FABBRI;VIA EDMONDO DE AMICIS;10475;10481;1991-10-21;68.0;4;;10;;3;;5;;44.49868198191302, 11.362673588205693;"{""coordinates"": [[11.362246826866539, 44.498648867316064], [11.363100349544847, 44.498715096509976]], ""type"": ""LineString""}";759639
3621;1550;VIA VITTORIO ALFIERI;12;Navile;VIA BRUNO ARNAUD;VIA DON GIOVANNI FORNASINI;10771;10687;1991-10-21;75.0;12;;14;;13;;15;;44.51798633107063, 11.353564943321281;"{""coordinates"": [[11.353734553735713, 44.518302235621924], [11.353395332906851, 44.517670426519345]], ""type"": ""LineString""}";760439
3959;59100;VIA DEL TREBBO;12;Navile;VIA DEL TREBBO;VIA DEL TREBBO;15134;15135;1991-10-21;205.0;;;;;;;;;44.55202023616781, 11.351236466008846;"{""coordinates"": [[11.352361674637216, 44.55156974880037], [11.351929489863524, 44.551838781743946], [11.351777451575366, 44.55192996774055], [11.351685741322111, 44.55197234143998], [11.351536418546987, 44.55202501245704], [11.351407327270767, 44.55205298676353], [11.35137491865288, 44.552056688196835], [11.351157051530711, 44.55209457512678], [11.350626595621494, 44.5521733246085], [11.350374612166775, 44.552207861446725], [11.350246981579783, 44.55223680364187], [11.35008413458581, 44.552260069939216], [11.350037435570133, 44.55225906880529]], ""type"": ""LineString""}";759272
3968;2230;ROTONDA ENRICO DE ANGELI;14;San Donato - San Vitale;VIA SAN DONATO;VIA SAN DONATO;11025;11027;2014-09-16;42.0;;;;;;;;;44.52658527667004, 11.416238488047984;"{""coordinates"": [[11.416421849882926, 44.526664041813326], [11.41637347472801, 44.52666616417656], [11.416320363244049, 44.52666026649413], [11.416258924090535, 44.52664136535623], [11.416208685077866, 44.52661211726291], [11.416175711878937, 44.526580127013105], [11.416147604256542, 44.52652398799688], [11.416147958456998, 44.526465310985785], [11.416170968568172, 44.526416768405994]], ""type"": ""LineString""}";1094671
10150;21180;ROTONDA SANT'EGIDIO;14;San Donato - San Vitale;VIA CAMILLO RANZANI;NOME VIA DA ISTITUIRE;17295;17294;2007-02-09;13.0;;;;;;;;;44.49973061950683, 11.359290665475628;"{""coordinates"": [[11.359213088388326, 44.499716393065526], [11.359222505501759, 44.49972189707018], [11.359235877255092, 44.49972721131109], [11.359244647503974, 44.499730712105965], [11.359256918121265, 44.49973398751227], [11.359262911032312, 44.499734745905535], [11.359269744832833, 44.49973608108924], [11.359278212732358, 44.4997370764118], [11.359285626808525, 44.49973751734912], [11.359294254424546, 44.499737483075855], [11.359301035464037, 44.49973719888452], [11.359308620507493, 44.499736889073034], [11.359316786779306, 44.499735396913316], [11.359324739390708, 44.49973390916899], [11.359333100946166, 44.499732268930735], [11.359350735601996, 44.499726016767404], [11.359368552749473, 44.499717429162395]], ""type"": ""LineString""}";760508
10155;55900;VIA DELLO SPORT;13;Porto - Saragozza;ROTONDA ANGELO SCHIAVIO;VIA PORRETTANA;17298;16165;2007-02-26;149.0;10;;12;;23;;33;A;44.49132231151247, 11.308119276349986;"{""coordinates"": [[11.308213475904433, 44.49198811175848], [11.308092699018585, 44.49109986428994], [11.30801072613531, 44.49065881912207]], ""type"": ""LineString""}";759381
10156;53730;ROTONDA ANGELO SCHIAVIO;13;Porto - Saragozza;ROTONDA ANGELO SCHIAVIO;ROTONDA ANGELO SCHIAVIO;17296;17299;2007-02-26;291.0;;;;;;;;;44.49155075079285, 11.31008245772541;"{""coordinates"": [[11.310895887600617, 44.492245700985755], [11.310894147123395, 44.49217427364908], [11.310905943003219, 44.492098476110385], [11.310918463217929, 44.49199039861833], [11.310927164096656, 44.491919669170294], [11.310931449429873, 44.49186196583232], [11.31092991796468, 44.49182320466678], [11.310923088141235, 44.49177512504539], [11.31091476430238, 44.491730613686066], [11.310899914171095, 44.49168740477744], [11.310874143969487, 44.491617373137565], [11.310844156743247, 44.49156507193679], [11.310783916019885, 44.49149574705681], [11.31072771034257, 44.491445146882675], [11.310690537787302, 44.491418846529896], [11.310601495025983, 44.49136891096255], [11.310541198833914, 44.491339558585544], [11.310454499025633, 44.49130722056204], [11.310320334988576, 44.49127936309278], [11.310176597207013, 44.49125875724302], [11.310041496033335, 44.49124856349186], [11.309901620162186, 44.49124198620881], [11.309793467106669, 44.49124888295369], [11.309706930678475, 44.49126239125997], [11.309644886016333, 44.49127187495947], [11.309581659315487, 44.49129314892871], [11.309476404742197, 44.49133172987296], [11.309389765188541, 44.491384041198984], [11.309312226086256, 44.49145852179898], [11.309217728221427, 44.491561550521894], [11.309198639923247, 44.49166071309386], [11.309130971874461, 44.49207507580355]], ""type"": ""LineString""}";758817
10158;53730;ROTONDA ANGELO SCHIAVIO;13;Porto - Saragozza;VIA DELLO SPORT;ROTONDA ANGELO SCHIAVIO;17298;17299;2007-02-26;74.0;;;;;;;;;44.492031593781014, 11.308672223889447;"{""coordinates"": [[11.308213475904433, 44.49198811175848], [11.309130971874461, 44.49207507580355]], ""type"": ""LineString""}";758817
10161;15100;VIA DELLA CAVA;16;Savena;VICOLO CASE;VICOLO CASE;17300;15962;2007-02-26;42.0;12;;30;;;;;;44.457505688499786, 11.36814007133045;"{""coordinates"": [[11.368083666187658, 44.457319280475666], [11.36808917427536, 44.4573572653441], [11.368088577755985, 44.45738323230161], [11.368165949562162, 44.45758571685315], [11.36822331993642, 44.457683060459]], ""type"": ""LineString""}";759288
10164;19350;VIA PIERRE DE COUBERTIN;13;Porto - Saragozza;ROTONDA ANGELO SCHIAVIO;PIAZZA DELLA PACE;17301;4604;2007-02-26;54.0;18;;22;;;;;;44.492022378902796, 11.311148660608449;"{""coordinates"": [[11.31111017124592, 44.492264031482115], [11.311187149970978, 44.491780726323476]], ""type"": ""LineString""}";760145
10611;45100;VIA PERSICETANA VECCHIA;11;Borgo Panigale - Reno;VIA COMMENDA;VIA TORQUATO SECCI;8584;17464;2008-10-21;62.0;4;;4;15;3;;5;;44.53224473365925, 11.269277740026011;"{""coordinates"": [[11.26910074896541, 44.53249412204554], [11.269235440493622, 44.53229453205506], [11.269462314292722, 44.53200082424684]], ""type"": ""LineString""}";760119
5462;14220;VIA GIOVANNI DOMENICO CASSINI;11;Borgo Panigale - Reno;VIA GIOVANNI DOMENICO CASSINI;ASSE SUD-OVEST;13371;4367;1996-02-13;238.0;;;;;3;;3;;44.49037914258264, 11.28512090708049;"{""coordinates"": [[11.28638314328693, 44.49081065250181], [11.285582429328226, 44.49058279738378], [11.285112817368388, 44.49045219932065], [11.284785349341547, 44.49035186603438], [11.284629035304256, 44.4902962075005], [11.284482011516296, 44.49020920484961], [11.284367327102588, 44.49011844898181], [11.284304050605474, 44.490045902878016], [11.284224773883363, 44.48992787167959], [11.284116227655788, 44.48962615189313]], ""type"": ""LineString""}";759712
5463;56520;VIA FRANCESCO TADOLINI;11;Borgo Panigale - Reno;ASSE SUD-OVEST;VIA RAFFAELLO SANZIO;4363;13372;1996-02-13;322.0;;;;;;;;;44.49094272802096, 11.284244372781838;"{""coordinates"": [[11.28227427351764, 44.490935661957394], [11.28249200481467, 44.49090797405248], [11.283113806568759, 44.49085554133641], [11.28399586078154, 44.49079123661064], [11.284154028827189, 44.49078807195733], [11.2843781114229, 44.49080357386272], [11.284862715400493, 44.49093382986542], [11.285564188039865, 44.491133059172675], [11.286182492161231, 44.491302629743664]], ""type"": ""LineString""}";759597
4729;23050;VIA ARISTOTILE FIORAVANTI;12;Navile;VIA DIONISIO CALVART;VIA GIOVANNI FRANCESCO BARBIERI;10673;10419;1992-01-10;81.0;76;;84;B;107;;107;;44.51641780487872, 11.342294835356565;"{""coordinates"": [[11.342217500506164, 44.51677586073733], [11.342276066373907, 44.5165638372091], [11.342333655564213, 44.51620785581008], [11.342346706100827, 44.51605504871202]], ""type"": ""LineString""}";758870
10227;7040;VIALE GIOVANNI II BENTIVOGLIO;14;San Donato - San Vitale;ROTONDA ITALIA;ROTONDA GIOVANNI SABADINO DEGLI ARIENTI;13510;17323;2007-04-17;670.0;;;;;;;;;44.48952962079438, 11.410241250030976;"{""coordinates"": [[11.40829074357685, 44.486825504312925], [11.408701506123275, 44.487409027629646], [11.409031642695666, 44.4878708075239], [11.409641953742474, 44.4887317887556], [11.41050753036275, 44.489962793140734], [11.411157935153234, 44.49086109924159], [11.411432804311781, 44.491203134649], [11.411519721136157, 44.49129886845576], [11.411649740884377, 44.49143398711605], [11.411810240607076, 44.49158967171379], [11.411915363581716, 44.491695616580444], [11.412159771164186, 44.491913941186915], [11.412274954280099, 44.49201097663822], [11.412368416184425, 44.492078105315116]], ""type"": ""LineString""}";759722
1624;40830;VIA GASPARE NADI;15;Santo Stefano;VIA LEANDRO ALBERTI;VIA GASPARE NADI;15400;15401;1993-12-06;34.0;;;;;;;;;44.481520182456066, 11.375866091371623;"{""coordinates"": [[11.37577322610836, 44.481646991524414], [11.37585323917134, 44.48158504485236], [11.375900981096507, 44.48146509086826], [11.375910536187387, 44.48136657462495]], ""type"": ""LineString""}";759636
1631;40830;VIA GASPARE NADI;15;Santo Stefano;VIA PELLIZZA DA VOLPEDO;VIA GASPARE NADI;15404;15406;1991-10-21;96.0;10;;16;;15;;21;;44.48039188909546, 11.374750875252143;"{""coordinates"": [[11.375038999615255, 44.4807688792401], [11.374462750889034, 44.48001489895081]], ""type"": ""LineString""}";759636
